clean_audio_duration,noise_category,noise_type,snr_level,pesq_score,stoi_score,mse_score,buffer_queue_avg,buffer_droped_avg,worklet_ms_avg,worker_ms_avg,model1_ms_avg,model2_ms_avg
5.760,domestic,kitchen,-5 dB,1.431142,0.044513,0.000021,1.666667,0.000000,0.090000,1.033333,0.350000,0.616667
5.760,domestic,kitchen,0 dB,1.215571,0.050345,0.000021,2.666667,0.000000,0.074167,0.966667,0.266667,0.616667
5.760,domestic,kitchen,10 dB,1.542205,0.044366,0.000023,2.166667,0.000000,0.065000,1.100000,0.333333,0.666667
5.760,domestic,kitchen,5 dB,1.394106,0.026085,0.000021,2.666667,0.000000,0.064167,1.200000,0.333333,0.766667
5.760,domestic,living,-5 dB,1.327681,0.119505,0.000021,4.333333,0.000000,0.056667,1.000000,0.316667,0.616667
5.760,domestic,living,0 dB,1.637892,0.055115,0.000022,1.833333,0.000000,0.051667,1.183333,0.316667,0.700000
5.760,domestic,living,10 dB,1.588644,0.048960,0.000021,2.333333,0.000000,0.070000,1.000000,0.283333,0.600000
5.760,domestic,living,5 dB,1.667311,0.050950,0.000021,2.666667,0.000000,0.066667,1.300000,0.350000,0.800000
5.760,domestic,washing,-5 dB,1.842742,0.043754,0.000021,2.500000,0.000000,0.037500,1.183333,0.366667,0.716667
5.760,domestic,washing,0 dB,1.788177,0.049083,0.000021,3.000000,0.000000,0.062500,1.133333,0.366667,0.683333
5.760,domestic,washing,10 dB,2.093681,0.050993,0.000022,2.333333,0.000000,0.063333,0.800000,0.266667,0.500000
5.760,domestic,washing,5 dB,2.168972,0.044532,0.000022,2.833333,0.000000,0.058333,1.183333,0.283333,0.783333
5.760,nature,field,-5 dB,1.499620,0.047193,0.000022,2.166667,0.000000,0.055000,0.933333,0.300000,0.550000
5.760,nature,field,0 dB,1.692696,0.184168,0.000023,2.500000,0.000000,0.049167,0.883333,0.283333,0.516667
5.760,nature,field,10 dB,2.126210,0.039835,0.000022,2.500000,0.000000,0.040000,1.050000,0.333333,0.666667
5.760,nature,field,5 dB,1.837210,0.053095,0.000022,2.000000,0.000000,0.056667,1.233333,0.433333,0.700000
5.760,nature,park,-5 dB,1.262861,0.071086,0.000022,1.166667,0.000000,0.033333,1.066667,0.316667,0.700000
5.760,nature,park,0 dB,1.471960,0.036801,0.000022,2.000000,0.000000,0.030833,0.916667,0.250000,0.533333
5.760,nature,park,10 dB,1.465011,0.025379,0.000021,2.333333,0.000000,0.034167,1.283333,0.383333,0.750000
5.760,nature,park,5 dB,1.333006,0.021237,0.000022,3.000000,0.000000,0.041667,1.200000,0.366667,0.783333
5.760,nature,river,-5 dB,1.206023,0.058120,0.000021,2.833333,0.000000,0.018333,0.950000,0.266667,0.583333
5.760,nature,river,0 dB,1.488197,0.050880,0.000022,4.500000,0.000000,0.060000,1.050000,0.333333,0.633333
5.760,nature,river,10 dB,1.560934,0.017967,0.000022,2.833333,0.000000,0.024167,1.016667,0.350000,0.616667
5.760,nature,river,5 dB,1.555983,0.054000,0.000022,2.000000,0.000000,0.029167,1.033333,0.350000,0.600000
5.760,office,hallway,-5 dB,1.200647,0.048043,0.000021,2.500000,0.000000,0.031667,1.133333,0.366667,0.700000
5.760,office,hallway,0 dB,1.450473,0.041353,0.000021,3.333333,0.000000,0.014167,1.033333,0.300000,0.666667
5.760,office,hallway,10 dB,1.776030,0.012917,0.000021,1.666667,0.000000,0.033333,0.816667,0.233333,0.500000
5.760,office,hallway,5 dB,1.490398,0.135500,0.000023,2.000000,0.000000,0.015833,1.250000,0.416667,0.666667
5.760,office,meeting,-5 dB,1.256117,0.063271,0.000021,2.833333,0.000000,0.013333,1.116667,0.333333,0.666667
5.760,office,meeting,0 dB,1.433398,0.083694,0.000021,2.833333,0.000000,0.026667,1.216667,0.366667,0.716667
5.760,office,meeting,10 dB,1.383253,0.049230,0.000022,2.500000,0.000000,0.015833,0.983333,0.266667,0.633333
5.760,office,meeting,5 dB,1.299112,0.121554,0.000021,3.000000,0.000000,0.006667,1.066667,0.266667,0.716667
5.760,office,office,-5 dB,1.520388,0.036992,0.000022,2.166667,0.000000,0.000833,0.866667,0.266667,0.516667
5.760,office,office,0 dB,1.515744,0.025727,0.000021,2.666667,0.000000,0.025833,1.016667,0.283333,0.633333
5.760,office,office,10 dB,1.992368,0.072618,0.000021,3.000000,0.000000,0.010833,1.000000,0.250000,0.650000
5.760,office,office,5 dB,1.890228,0.048924,0.000021,2.833333,0.000000,0.011667,1.066667,0.300000,0.683333
5.760,public,cafeter,-5 dB,1.261603,0.277540,0.000021,2.500000,0.000000,0.020000,0.833333,0.250000,0.516667
5.760,public,cafeter,0 dB,1.274515,0.075561,0.000021,1.833333,0.000000,0.021667,1.183333,0.350000,0.783333
5.760,public,cafeter,10 dB,1.353167,0.019632,0.000021,2.666667,0.000000,0.010833,1.000000,0.316667,0.616667
5.760,public,cafeter,5 dB,1.534706,0.038643,0.000021,1.833333,0.000000,0.021667,1.133333,0.333333,0.716667
5.760,public,resto,-5 dB,1.258330,0.105219,0.000021,1.666667,0.000000,0.009167,1.000000,0.316667,0.583333
5.760,public,resto,0 dB,1.291880,0.052733,0.000022,1.666667,0.000000,0.017500,0.933333,0.283333,0.533333
5.760,public,resto,10 dB,1.507436,0.006230,0.000022,1.833333,0.000000,0.010000,1.100000,0.366667,0.666667
5.760,public,resto,5 dB,1.393008,0.104144,0.000021,2.000000,0.000000,0.008333,1.216667,0.400000,0.700000
5.760,public,station,-5 dB,1.273261,0.044622,0.000021,2.333333,0.000000,0.016667,1.266667,0.400000,0.716667
5.760,public,station,0 dB,1.328063,0.383056,0.000022,1.833333,0.000000,0.006667,0.883333,0.283333,0.550000
5.760,public,station,10 dB,1.569873,0.004104,0.000021,2.833333,0.000000,0.000000,1.100000,0.450000,0.550000
5.760,public,station,5 dB,1.523725,0.020407,0.000021,1.333333,0.000000,0.010833,0.916667,0.333333,0.500000
5.760,street,square,-5 dB,1.591378,0.028421,0.000021,2.000000,0.000000,0.006667,1.000000,0.316667,0.600000
5.760,street,square,0 dB,1.549937,0.049286,0.000022,2.000000,0.000000,0.011667,0.983333,0.250000,0.616667
5.760,street,square,10 dB,1.808972,0.025339,0.000021,2.000000,0.000000,0.015833,0.850000,0.233333,0.550000
5.760,street,square,5 dB,1.634995,0.005172,0.000021,2.666667,0.000000,0.006667,1.016667,0.333333,0.583333
5.760,street,traffic,-5 dB,1.338141,0.025887,0.000022,2.833333,0.000000,0.006667,0.766667,0.233333,0.466667
5.760,street,traffic,0 dB,1.507409,0.040632,0.000022,2.000000,0.000000,0.016667,0.900000,0.283333,0.533333
5.760,street,traffic,10 dB,1.536823,0.033005,0.000021,2.333333,0.000000,0.011667,1.016667,0.266667,0.650000
5.760,street,traffic,5 dB,1.408480,0.040361,0.000022,3.500000,0.000000,0.020833,1.066667,0.366667,0.583333
5.760,transportation,bus,-5 dB,1.667225,0.045867,0.000021,2.000000,0.000000,0.030000,0.883333,0.250000,0.516667
5.760,transportation,bus,0 dB,1.588048,0.060170,0.000022,2.500000,0.000000,0.030833,0.983333,0.316667,0.583333
5.760,transportation,bus,10 dB,2.007585,0.047070,0.000022,2.166667,0.000000,0.015833,0.900000,0.283333,0.483333
5.760,transportation,bus,5 dB,1.513197,0.051372,0.000022,2.166667,0.000000,0.030000,0.866667,0.233333,0.566667
5.760,transportation,car,-5 dB,1.889288,0.034629,0.000021,3.333333,0.000000,0.041667,0.983333,0.283333,0.650000
5.760,transportation,car,0 dB,1.684155,0.037474,0.000022,1.833333,0.000000,0.040833,1.083333,0.300000,0.650000
5.760,transportation,car,10 dB,1.797456,0.062088,0.000021,3.166667,0.000000,0.034167,1.100000,0.300000,0.666667
5.760,transportation,car,5 dB,1.778440,0.081205,0.000022,2.000000,0.000000,0.027500,0.883333,0.266667,0.600000
5.760,transportation,metro,-5 dB,1.175563,0.107770,0.000021,1.833333,0.000000,0.054167,0.983333,0.250000,0.616667
5.760,transportation,metro,0 dB,1.394864,0.032379,0.000022,1.333333,0.000000,0.037500,0.983333,0.316667,0.616667
5.760,transportation,metro,10 dB,1.782540,0.005018,0.000021,2.166667,0.000000,0.042500,1.033333,0.266667,0.666667
5.760,transportation,metro,5 dB,1.473333,0.020881,0.000022,2.333333,0.000000,0.045000,1.066667,0.316667,0.633333
