clean_audio_duration,noise_category,noise_type,snr_level,pesq_score,stoi_score,mse_score,buffer_queue_avg,buffer_droped_avg,worklet_ms_avg,worker_ms_avg,model1_ms_avg,model2_ms_avg
5.724,domestic,kitchen,-5 dB,1.288294,0.192434,0.000022,3.666667,0.000000,0.027500,1.166667,0.350000,0.783333
5.724,domestic,kitchen,0 dB,1.591893,0.103719,0.000021,2.666667,0.000000,0.050000,1.083333,0.333333,0.716667
5.724,domestic,kitchen,10 dB,1.775812,0.089069,0.000022,4.166667,0.000000,0.020833,0.900000,0.283333,0.566667
5.724,domestic,kitchen,5 dB,1.588365,0.094341,0.000021,2.666667,0.000000,0.056667,1.000000,0.300000,0.633333
5.724,domestic,living,-5 dB,1.261707,0.144862,0.000022,1.666667,0.000000,0.030000,0.966667,0.233333,0.650000
5.724,domestic,living,0 dB,1.335461,0.096833,0.000021,2.833333,0.000000,0.023333,1.016667,0.266667,0.600000
5.724,domestic,living,10 dB,1.768286,0.098273,0.000022,2.500000,0.000000,0.032500,0.983333,0.283333,0.633333
5.724,domestic,living,5 dB,1.455199,0.176211,0.000021,2.166667,0.000000,0.021667,0.850000,0.250000,0.566667
5.724,domestic,washing,-5 dB,1.681935,0.173412,0.000023,3.166667,0.000000,0.055000,0.983333,0.333333,0.600000
5.724,domestic,washing,0 dB,1.850849,0.076383,0.000022,3.166667,0.000000,0.037500,1.166667,0.333333,0.700000
5.724,domestic,washing,10 dB,1.899740,0.065367,0.000021,4.166667,0.000000,0.045000,0.983333,0.266667,0.666667
5.724,domestic,washing,5 dB,1.933435,0.084310,0.000021,1.833333,0.000000,0.033333,1.000000,0.333333,0.583333
5.724,nature,field,-5 dB,1.586196,0.099542,0.000021,2.666667,0.000000,0.013333,1.083333,0.333333,0.666667
5.724,nature,field,0 dB,1.682098,0.112972,0.000022,3.500000,0.000000,0.032500,1.150000,0.350000,0.700000
5.724,nature,field,10 dB,1.948650,0.146160,0.000022,2.666667,0.000000,0.015000,0.950000,0.300000,0.566667
5.724,nature,field,5 dB,1.725843,0.077334,0.000021,1.833333,0.000000,0.030833,0.950000,0.283333,0.550000
5.724,nature,park,-5 dB,1.160251,0.089614,0.000022,2.500000,0.000000,0.013333,0.800000,0.300000,0.466667
5.724,nature,park,0 dB,1.353115,0.194996,0.000021,2.333333,0.000000,0.030833,1.116667,0.316667,0.700000
5.724,nature,park,10 dB,1.842083,0.087472,0.000022,3.000000,0.000000,0.015833,1.066667,0.283333,0.716667
5.724,nature,park,5 dB,1.708224,0.113826,0.000022,3.166667,0.000000,0.026667,1.016667,0.250000,0.600000
5.724,nature,river,-5 dB,1.210124,0.125891,0.000021,2.333333,0.000000,0.038333,1.100000,0.450000,0.566667
5.724,nature,river,0 dB,1.958508,0.094127,0.000023,3.833333,0.000000,0.027500,1.050000,0.333333,0.600000
5.724,nature,river,10 dB,1.934958,0.080826,0.000022,2.666667,0.000000,0.029167,0.916667,0.350000,0.500000
5.724,nature,river,5 dB,1.852905,0.085174,0.000022,2.666667,0.000000,0.025833,1.300000,0.366667,0.833333
5.724,office,hallway,-5 dB,1.556674,0.110451,0.000021,4.333333,0.000000,0.024167,1.350000,0.450000,0.816667
5.724,office,hallway,0 dB,1.458841,0.091658,0.000022,2.833333,0.000000,0.019167,0.966667,0.333333,0.533333
5.724,office,hallway,10 dB,1.847989,0.091826,0.000021,2.166667,0.000000,0.021667,1.066667,0.233333,0.650000
5.724,office,hallway,5 dB,1.862711,0.150077,0.000023,2.500000,0.000000,0.014167,0.950000,0.283333,0.583333
5.724,office,meeting,-5 dB,1.118721,0.209032,0.000022,3.666667,0.000000,0.010833,0.883333,0.283333,0.533333
5.724,office,meeting,0 dB,1.167987,0.118408,0.000021,3.000000,0.000000,0.018333,0.983333,0.300000,0.633333
5.724,office,meeting,10 dB,1.644896,0.094527,0.000022,3.166667,0.000000,0.031667,1.016667,0.266667,0.650000
5.724,office,meeting,5 dB,1.231742,0.108613,0.000021,3.000000,0.000000,0.017500,0.883333,0.250000,0.550000
5.724,office,office,-5 dB,1.785683,0.097228,0.000022,2.833333,0.000000,0.012500,1.233333,0.366667,0.783333
5.724,office,office,0 dB,1.724418,0.098593,0.000022,3.000000,0.000000,0.020833,1.150000,0.400000,0.683333
5.724,office,office,10 dB,2.507277,0.058134,0.000022,3.500000,0.000000,0.019167,0.950000,0.333333,0.583333
5.724,office,office,5 dB,2.116907,0.105350,0.000022,3.833333,0.000000,0.028333,0.866667,0.266667,0.533333
5.724,public,cafeter,-5 dB,1.077955,0.175192,0.000021,4.500000,0.000000,0.009167,1.150000,0.333333,0.683333
5.724,public,cafeter,0 dB,1.256060,0.114126,0.000021,3.500000,0.000000,0.025000,0.916667,0.250000,0.533333
5.724,public,cafeter,10 dB,1.549334,0.100555,0.000022,2.000000,0.000000,0.020000,0.883333,0.283333,0.583333
5.724,public,cafeter,5 dB,1.293225,0.110630,0.000021,3.666667,0.000000,0.007500,1.183333,0.366667,0.733333
5.724,public,resto,-5 dB,1.114295,0.140761,0.000022,3.000000,0.000000,0.012500,0.900000,0.250000,0.583333
5.724,public,resto,0 dB,1.160065,0.153830,0.000021,3.333333,0.000000,0.020833,1.016667,0.283333,0.666667
5.724,public,resto,10 dB,1.406750,0.090821,0.000021,2.500000,0.000000,0.009167,0.900000,0.283333,0.483333
5.724,public,resto,5 dB,1.304849,0.111143,0.000022,3.000000,0.000000,0.010833,1.266667,0.416667,0.716667
5.724,public,station,-5 dB,1.130236,0.140861,0.000021,3.166667,0.000000,0.019167,0.933333,0.316667,0.533333
5.724,public,station,0 dB,1.276884,0.151804,0.000022,2.833333,0.000000,0.013333,1.066667,0.300000,0.650000
5.724,public,station,10 dB,1.632626,0.088057,0.000022,2.666667,0.000000,0.011667,0.750000,0.250000,0.450000
5.724,public,station,5 dB,1.392251,0.150100,0.000021,2.500000,0.000000,0.011667,1.200000,0.333333,0.800000
5.724,street,square,-5 dB,1.238412,0.124713,0.000021,2.833333,0.000000,0.015000,0.916667,0.300000,0.583333
5.724,street,square,0 dB,1.602662,0.082479,0.000022,3.333333,0.000000,0.005000,1.033333,0.316667,0.616667
5.724,street,square,10 dB,1.985505,0.086006,0.000022,0.833333,0.000000,0.025833,0.833333,0.200000,0.566667
5.724,street,square,5 dB,1.702559,0.162060,0.000022,3.666667,0.000000,0.018333,1.066667,0.216667,0.700000
5.724,street,traffic,-5 dB,1.306840,0.176794,0.000022,2.833333,0.000000,0.010000,1.066667,0.383333,0.583333
5.724,street,traffic,0 dB,1.458112,0.092538,0.000022,3.666667,0.000000,0.019167,1.133333,0.350000,0.733333
5.724,street,traffic,10 dB,1.934139,0.097741,0.000022,2.000000,0.000000,0.015000,0.783333,0.250000,0.466667
5.724,street,traffic,5 dB,1.832937,0.187889,0.000021,3.166667,0.000000,0.008333,0.816667,0.216667,0.533333
5.724,transportation,bus,-5 dB,1.330950,0.105022,0.000022,3.000000,0.000000,0.014167,1.266667,0.433333,0.683333
5.724,transportation,bus,0 dB,1.804277,0.146983,0.000022,4.000000,0.000000,0.005000,1.066667,0.350000,0.633333
5.724,transportation,bus,10 dB,1.873443,0.065928,0.000022,4.833333,0.000000,0.017500,1.116667,0.333333,0.650000
5.724,transportation,bus,5 dB,2.127645,0.065776,0.000022,2.166667,0.000000,0.009167,0.950000,0.300000,0.533333
5.724,transportation,car,-5 dB,1.958217,0.104267,0.000022,2.666667,0.000000,0.004167,1.000000,0.283333,0.633333
5.724,transportation,car,0 dB,1.846631,0.130212,0.000021,2.166667,0.000000,0.011667,0.850000,0.266667,0.533333
5.724,transportation,car,10 dB,2.539866,0.071087,0.000021,2.500000,0.000000,0.010000,1.016667,0.283333,0.616667
5.724,transportation,car,5 dB,2.384947,0.126878,0.000022,4.000000,0.000000,0.004167,1.100000,0.350000,0.666667
5.724,transportation,metro,-5 dB,1.184722,0.105826,0.000022,2.500000,0.000000,0.012500,1.250000,0.366667,0.800000
5.724,transportation,metro,0 dB,1.476561,0.169919,0.000023,2.500000,0.000000,0.001667,0.850000,0.300000,0.483333
5.724,transportation,metro,10 dB,1.839258,0.099600,0.000022,2.833333,0.000000,0.008333,1.100000,0.333333,0.666667
5.724,transportation,metro,5 dB,1.832492,0.073479,0.000022,3.333333,0.000000,0.017500,0.900000,0.266667,0.566667
